137 -114.118 116.78
138 -113.775 116.916
139 -113.455 117.018
140 -113.19 117.106
141 -113.009 117.203
142 -112.935 117.325
143 -112.975 117.481
144 -113.125 117.67
145 -113.369 117.887
146 -113.685 118.126
147 -114.043 118.382
148 -114.418 118.661
149 -114.79 118.97
150 -115.154 119.321
151 -115.514 119.722
152 -115.887 120.177
153 -116.291 120.675
154 -116.739 121.2
155 -117.232 121.727
156 -117.764 122.23
157 -118.318 122.688
158 -118.881 123.085
159 -119.438 123.413
160 -119.983 123.67
161 -120.513 123.857
162 -121.03 123.976
163 -121.533 124.03
164 -122.023 124.023
165 -122.498 123.961
166 -122.956 123.853
167 -123.395 123.711
168 -123.811 123.548
169 -124.2 123.372
170 -124.555 123.191
171 -124.867 123.007
172 -125.126 122.822
173 -125.326 122.636
174 -125.468 122.455
175 -125.561 122.291
176 -125.619 122.162
177 -125.663 122.092
178 -125.71 122.1
179 -125.769 122.195
180 -125.843 122.373
181 -125.925 122.613
182 -126.006 122.884
183 -126.075 123.148
184 -126.133 123.374
185 -126.183 123.543
186 -126.238 123.647
187 -126.31 123.692
188 -126.404 123.686
189 -126.518 123.636
190 -126.639 123.54
191 -126.746 123.386
192 -126.819 123.153
193 -126.839 122.818
194 -126.797 122.364
195 -126.698 121.785
196 -126.555 121.093
197 -126.39 120.318
198 -126.231 119.505
199 -126.102 118.705
200 -126.024 117.966
201 -126.001 117.322
202 -126.03 116.783
203 -126.092 116.341
204 -126.165 115.976
205 -126.228 115.67
206 -126.264 115.415
207 -126.268 115.219
208 -126.248 115.104
209 -126.217 115.093
210 -126.189 115.203
211 -126.17 115.434
212 -126.152 115.768
213 -126.118 116.171
214 -126.043 116.604
215 -125.905 117.034
216 -125.692 117.439
217 -125.409 117.815
218 -125.075 118.17
219 -124.721 118.524
220 -124.383 118.897
221 -124.093 119.305
222 -123.866 119.753
223 -123.709 120.233
224 -123.612 120.726
225 -123.56 121.211
226 -123.535 121.667
227 -123.525 122.085
228 -123.527 122.465
229 -123.547 122.817
230 -123.594 123.154
231 -123.684 123.49
232 -123.826 123.828
233 -124.024 124.165
234 -124.274 124.488
235 -124.567 124.78
236 -124.888 125.032
237 -125.224 125.24
238 -125.563 125.412
239 -125.9 125.562
240 -126.231 125.705
241 -126.558 125.851
242 -126.883 126
243 -127.209 126.145
244 -127.536 126.277
245 -127.86 126.388
246 -128.175 126.475
247 -128.472 126.542
248 -128.741 126.595
249 -128.972 126.639
250 -129.156 126.672
251 -129.286 126.687
252 -129.362 126.675
253 -129.385 126.627
254 -129.367 126.54
255 -129.328 126.416
256 -129.292 126.267
257 -129.289 126.102
258 -129.344 125.93
259 -129.472 125.749
260 -129.671 125.547
261 -129.925 125.301
262 -130.202 124.986
263 -130.467 124.58
264 -130.692 124.068
265 -130.858 123.449
266 -130.959 122.74
267 -130.996 121.968
268 -130.971 121.169
269 -130.884 120.375
270 -130.727 119.61
271 -130.494 118.885
272 -130.182 118.199
273 -129.796 117.541
274 -129.353 116.902
275 -128.88 116.283
276 -128.411 115.706
277 -127.98 115.208
278 -127.618 114.839
279 -127.349 114.643
280 -127.185 114.648
281 -127.135 114.856
282 -127.196 115.238
283 -127.358 115.742
284 -127.606 116.311
285 -127.926 116.894
286 -128.308 117.46
287 -128.749 117.997
288 -129.253 118.506
289 -129.829 118.997
290 -130.477 119.47
291 -131.188 119.918
292 -131.934 120.324
293 -132.679 120.663
294 -133.383 120.911
295 -134.012 121.055
296 -134.543 121.094
297 -134.967 121.039
298 -135.285 120.918
299 -135.502 120.762
300 -135.622 120.605
301 -135.646 120.474
302 -135.567 120.382
303 -135.369 120.328
304 -135.036 120.302
305 -134.549 120.287
306 -133.894 120.273
307 -133.073 120.26
308 -132.097 120.262
309 -131 120.301
310 -129.822 120.405
311 -128.609 120.594
312 -127.405 120.877
313 -126.24 121.25
314 -125.137 121.698
315 -124.109 122.203
316 -123.166 122.753
317 -122.318 123.342
318 -121.577 123.976
319 -120.954 124.661
320 -120.456 125.394
321 -120.084 126.161
322 -119.829 126.93
323 -119.677 127.659
324 -119.608 128.301
325 -119.599 128.817
326 -119.627 129.18
327 -119.671 129.376
328 -119.716 129.405
329 -119.751 129.276
330 -119.771 128.999
331 -119.773 128.582
332 -119.76 128.031
333 -119.733 127.35
334 -119.698 126.549
335 -119.662 125.642
336 -119.633 124.657
337 -119.625 123.635
338 -119.651 122.621
339 -119.719 121.665
340 -119.827 120.804
341 -119.961 120.055
342 -120.092 119.414
